sys_data_source_nm,sys_data_schema_nm,sys_data_source_table_nm,sys_insert_date,sys_insert_owner_corp_id,player_name,country_name,country_code,all_time_league_goals,all_time_league_appearances,international_caps,international_goals,value,strength,stamina,pace,natural_fitness,jumping_reach,balance,agility,work_rate,vision,teamwork,positioning,off_the_ball,leadership,flair,determination,decisions,concentration,composure,bravery,anticipation,technique,corners,dribbling,finishing,first_touch,free_kicks,heading,long_shots,long_throws,marking,tackling,passing,penalties,aggression,acceleration
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Mathew Ryan,Australia,AUS,0,195,46,0,�11M,13,15,11,14,14,14,14,12,11,10,17,2,14,8,18,12,12,14,15,14,11,10,3,2,11,12,8,3,12,2,2,14,3,13,10
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Tom Rogic,Australia,AUS,20,95,39,7,�9M,14,9,10,11,13,14,9,14,16,15,14,15,9,12,11,14,9,16,11,16,15,12,16,15,16,11,12,17,6,7,8,15,13,12,10
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Trent Sainsbury,Australia,AUS,4,122,37,3,�3.8M,13,14,14,13,13,13,12,14,11,14,13,8,10,6,4,10,11,14,14,15,11,6,10,7,12,6,13,5,13,14,13,12,4,13,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Tomi Juric,Australia,AUS,41,137,37,8,�1.6M,16,14,13,11,15,16,11,14,9,13,3,14,4,10,15,11,8,13,16,13,13,2,10,14,13,5,14,10,3,4,6,11,14,15,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Massimo Luongo,Australia,AUS,14,162,36,5,�5.5M,12,13,11,11,10,14,14,14,12,12,10,11,14,11,14,12,13,14,15,13,14,8,14,8,13,12,10,10,8,10,15,12,9,12,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Aaron Mooy,Australia,AUS,27,170,36,5,�21.5M,11,13,10,14,9,12,11,13,16,16,13,13,8,13,12,15,14,16,12,14,16,12,14,11,15,14,7,14,4,10,13,16,12,13,10
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Aziz Behich,Australia,AUS,7,219,25,2,�2.1M,13,15,14,12,7,14,14,15,10,16,11,12,9,5,12,13,15,13,12,12,10,10,14,9,7,8,7,8,11,11,13,12,9,14,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Jackson Irvine,Australia,AUS,15,148,21,2,�6M,15,16,11,12,15,13,11,15,13,15,12,13,12,10,13,12,11,13,12,16,12,8,10,12,12,7,15,10,6,11,12,12,10,14,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Milos Degenek,Australia,AUS,4,352,18,0,�400K,16,14,9,17,15,14,8,12,6,15,15,10,16,2,16,14,14,14,15,12,8,5,6,9,8,2,15,3,7,14,12,10,7,12,10
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Josh Risdon,Australia,AUS,2,142,10,0,�850K,11,14,13,14,5,9,12,12,12,9,12,12,12,1,11,15,15,14,12,14,11,12,9,3,10,13,10,6,8,13,13,12,8,11,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Brad Jones,Australia,AUS,0,159,6,0,�1.6M,14,14,11,8,15,13,10,13,6,11,14,3,15,2,8,14,14,14,14,13,9,1,3,3,7,4,7,2,14,2,2,9,4,9,9
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Andrew Nabbout,Australia,AUS,0,24,6,1,�750,6,13,12,10,7,5,6,12,8,7,6,10,5,12,3,7,7,7,8,7,9,4,11,10,11,7,14,5,5,5,1,8,6,9,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Jamie Maclaren,Australia,AUS,51,91,6,0,�1.1M,11,12,16,13,9,12,14,14,8,10,7,14,10,12,14,8,12,13,13,15,10,7,11,13,10,8,10,12,6,6,7,9,14,12,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Matthew Jurman,Australia,AUS,6,131,4,0,�145K,12,14,12,11,10,8,11,16,10,13,12,11,11,8,13,10,10,10,13,12,8,7,11,7,12,8,13,11,11,13,12,11,3,13,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Daniel Arzani,Australia,AUS,1,11,4,1,�210K,7,9,14,15,8,7,15,10,7,9,4,9,1,14,11,7,4,7,9,7,8,8,15,8,12,8,10,8,6,5,9,10,4,10,11
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,James Meredith,Australia,AUS,8,339,2,0,�2.4M,12,16,14,10,13,10,13,15,6,15,11,8,9,3,15,12,10,8,14,11,11,9,10,7,9,5,10,9,11,12,14,10,6,10,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Dimitri Petratos,Australia,AUS,22,158,2,0,�675K,10,14,13,10,9,12,11,6,11,11,9,12,14,14,11,11,11,9,7,10,12,10,11,11,10,10,10,13,10,10,11,10,8,7,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Danny Vukovic,Australia,AUS,1,295,1,0,�1.3M,14,10,10,9,14,12,12,8,9,12,11,5,10,8,10,11,11,12,14,15,9,3,8,4,8,1,7,1,8,1,7,9,9,15,10
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Jan Vertonghen,Belgium,BEL,30,318,103,8,�34.5M,16,15,12,12,15,14,14,13,11,15,15,11,14,12,15,15,14,16,14,15,15,7,13,8,15,11,15,10,12,15,16,13,10,13,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Axel Witsel,Belgium,BEL,55,344,91,9,�29.5M,12,15,13,16,13,14,12,16,12,15,14,14,11,12,13,13,18,13,13,18,14,11,13,11,14,11,14,13,8,8,12,15,17,12,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Eden Hazard,Belgium,BEL,93,321,87,22,�70M,11,17,16,16,8,16,20,13,16,11,7,14,6,18,16,16,13,15,17,12,18,12,20,13,17,13,7,13,5,3,4,15,19,8,17
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Marouane Fellaini,Belgium,BEL,42,294,82,17,�20.5M,18,18,13,16,17,19,12,16,8,18,14,15,7,12,15,14,14,13,17,14,13,9,7,13,13,8,17,10,13,14,15,13,12,17,9
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Toby Alderweireld,Belgium,BEL,14,234,78,3,�51M,15,14,12,15,14,14,13,15,13,15,17,10,12,10,14,15,14,14,14,17,13,7,12,9,14,11,16,11,12,14,17,15,8,13,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Vincent Kompany,Belgium,BEL,22,333,77,4,�45M,16,13,13,10,16,15,12,15,11,17,16,7,18,11,17,14,15,15,17,16,14,5,10,7,14,6,16,7,10,16,16,13,8,14,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Mousa Dembele,Belgium,BEL,46,377,77,5,�29M,18,13,13,10,13,18,15,16,8,17,14,11,10,12,16,13,14,17,16,16,17,8,19,11,17,10,13,12,4,13,16,15,12,11,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Dries Mertens,Belgium,BEL,137,381,70,15,�54M,9,14,15,13,6,12,17,13,14,13,6,18,12,16,15,14,13,14,15,16,16,14,16,17,17,14,7,14,7,5,6,16,14,12,16
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Romelu Lukaku,Belgium,BEL,117,259,70,38,�57M,19,13,16,17,17,18,11,12,9,14,8,14,9,12,16,13,15,15,15,16,14,4,13,18,13,12,17,13,6,6,6,11,13,10,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Thomas Vermaelen,Belgium,BEL,24,239,66,1,�10M,14,13,13,9,14,13,11,16,12,15,15,13,14,7,18,14,15,16,14,16,14,7,10,8,14,10,15,12,13,15,15,13,11,15,11
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Kevin De Bruyne,Belgium,BEL,52,246,63,14,�78M,13,17,14,16,8,14,13,14,19,13,9,15,11,16,15,17,13,15,9,14,17,15,15,15,18,15,6,16,8,7,8,19,12,12,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Thibaut Courtois,Belgium,BEL,0,243,59,0,�49.5M,13,9,10,12,19,12,13,10,10,14,15,3,11,14,15,15,15,14,14,15,13,11,10,2,10,13,10,2,2,2,2,13,3,8,11
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Nacer Chadli,Belgium,BEL,71,286,46,5,�26.5M,14,14,15,10,14,13,14,13,15,12,10,14,6,14,15,12,12,14,12,12,15,12,15,14,15,12,10,13,5,4,9,15,12,10,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Yannick Carrasco,Belgium,BEL,29,145,27,5,�29.5M,11,13,17,12,10,14,14,12,15,10,7,16,9,16,15,14,12,14,10,12,17,14,17,14,14,15,8,13,6,4,4,14,15,11,16
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Thomas Meunier,Belgium,BEL,31,223,26,5,�15.5M,14,15,14,14,14,14,11,16,12,16,13,13,8,11,16,14,15,14,14,14,14,8,13,10,13,10,12,12,11,12,13,14,8,10,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Simon Mignolet,Belgium,BEL,1,325,21,0,�21M,14,12,11,14,14,13,16,10,8,11,15,2,10,2,15,13,14,14,14,15,8,4,2,2,11,9,4,2,3,3,3,11,2,10,11
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Michy Batshuayi,Belgium,BEL,71,185,16,7,�29M,15,13,14,12,13,16,14,9,11,12,8,12,4,14,11,10,12,17,14,15,14,7,12,16,15,9,13,13,5,4,5,12,12,11,16
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Thorgan Hazard,Belgium,BEL,29,167,12,1,�12.25M,7,13,13,12,9,10,16,14,16,12,7,14,6,16,10,12,10,10,8,11,15,14,16,12,16,13,7,14,7,6,8,14,13,13,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Youri Tielemans,Belgium,BEL,26,139,9,0,�11M,10,13,12,14,8,12,14,14,14,13,11,12,13,15,14,13,15,14,13,13,16,14,13,11,15,13,9,14,3,11,11,15,16,11,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Dedryck Boyata,Belgium,BEL,9,75,8,0,�2.3M,15,13,13,13,14,13,11,12,5,12,16,10,12,7,16,14,12,9,16,12,6,5,8,9,7,6,15,6,11,13,15,6,6,17,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Adnan Januzaj,Belgium,BEL,5,81,8,0,�11.25M,7,12,14,12,9,15,15,9,16,10,4,12,5,17,10,13,11,13,8,12,16,12,17,12,15,13,5,12,3,4,6,15,12,10,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Leander Dendoncker,Belgium,BEL,7,88,5,0,�12.75M,14,16,11,11,15,14,12,16,11,16,9,11,13,10,14,14,15,12,14,14,11,9,9,9,11,10,14,11,10,14,14,13,7,13,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Koen Casteels,Belgium,BEL,0,110,0,0,�7M,14,10,10,14,17,12,16,12,10,17,11,3,8,3,10,10,13,17,13,16,12,5,2,2,12,9,8,2,1,3,1,10,5,8,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Neymar,Brazil,BRA,122,226,86,55,�85M,10,13,16,16,6,14,19,10,16,10,3,19,14,19,16,15,15,15,14,17,20,16,20,16,17,16,9,13,3,3,3,16,16,10,18
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Thiago Silva,Brazil,BRA,22,349,72,5,�22M,15,15,14,15,13,16,13,16,12,15,16,10,14,8,17,15,16,15,15,16,14,4,10,7,14,8,16,7,7,17,16,14,14,16,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Willian,Brazil,BRA,42,304,58,8,�42.5M,11,14,17,12,11,10,13,20,15,18,7,15,8,15,16,14,12,13,9,14,16,9,17,11,15,16,9,15,8,5,8,15,12,11,16
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Marcelo,Brazil,BRA,24,321,56,6,�51M,11,15,13,10,6,18,15,13,16,14,11,16,13,18,14,12,13,15,13,13,18,13,18,12,18,11,10,14,13,11,13,15,12,16,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Paulinho,Brazil,BRA,48,278,51,12,�22M,14,15,14,13,12,14,15,15,14,15,12,16,12,14,16,15,14,12,12,16,13,11,12,14,14,12,14,13,11,14,15,14,12,11,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Miranda,Brazil,BRA,17,387,48,2,�10.25M,13,14,15,14,14,15,12,16,11,15,16,9,14,7,17,14,14,14,16,16,12,2,9,9,12,5,16,7,3,17,16,12,10,13,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Fernandinho,Brazil,BRA,57,394,45,2,�25.5M,13,16,13,15,12,14,15,17,13,16,13,14,14,10,16,15,16,15,15,14,16,10,13,11,15,11,12,13,6,12,14,14,15,15,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Philippe Coutinho,Brazil,BRA,50,210,37,11,�69M,12,14,13,13,8,16,17,15,17,15,13,16,13,18,16,15,15,17,12,14,18,13,18,14,17,15,8,16,3,11,11,15,12,11,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Filipe Luis,Brazil,BRA,12,384,33,2,�18.25M,11,16,14,9,13,11,15,16,14,14,11,15,11,13,16,14,14,15,14,15,16,13,15,12,15,13,9,13,12,12,12,14,14,13,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Renato Augusto,Brazil,BRA,28,299,29,5,�20.5M,11,13,11,13,11,10,12,12,14,13,4,14,12,16,14,13,12,11,8,12,15,13,15,13,15,12,6,12,7,6,6,15,11,8,11
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Alisson,Brazil,BRA,0,44,27,0,�15.75M,15,13,13,12,15,15,14,12,3,13,14,3,14,5,16,14,14,16,14,15,5,7,3,3,4,10,9,3,3,3,3,7,7,12,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Marquinhos,Brazil,BRA,8,134,26,0,�37.5M,13,15,15,14,13,16,13,15,12,17,16,8,12,10,18,15,16,15,15,15,14,4,10,8,14,4,15,10,7,15,16,13,8,14,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Casemiro,Brazil,BRA,15,165,25,0,�49.5M,17,19,14,15,13,15,12,19,12,17,16,12,10,12,14,15,16,15,16,14,13,10,12,9,14,10,13,12,10,13,16,14,11,18,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Douglas Costa,Brazil,BRA,39,218,25,3,�44M,10,15,16,14,6,14,17,14,13,8,7,14,5,18,13,10,12,10,9,13,17,14,18,11,15,14,5,14,10,5,6,12,11,14,19
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Roberto Firmino,Brazil,BRA,67,244,22,6,�52M,14,16,13,16,11,15,15,17,15,17,12,17,5,16,14,15,16,16,12,17,18,11,16,15,17,9,12,13,4,12,14,15,12,12,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Danilo,Brazil,BRA,19,197,19,0,�22.5M,14,17,17,15,12,13,12,16,10,13,11,14,10,14,15,10,13,11,14,12,13,11,12,11,12,10,10,13,13,12,15,12,12,14,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Gabriel Jesus,Brazil,BRA,23,57,18,10,�46.5M,10,13,15,14,8,14,17,15,13,12,7,14,7,15,13,13,12,14,12,13,16,11,14,16,15,10,11,11,6,8,10,13,12,12,16
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Fred,Brazil,BRA,14,107,8,0,�17.5M,10,13,13,15,6,10,16,13,14,13,11,13,8,15,12,15,14,14,11,13,16,10,15,12,15,6,9,13,6,12,13,14,7,7,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Taison,Brazil,BRA,40,216,8,1,�14.5M,11,12,16,12,5,15,16,13,13,11,4,15,12,16,16,13,12,11,15,13,17,3,17,12,15,10,9,16,5,8,10,13,12,14,16
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Fagner,Brazil,BRA,13,270,4,0,�10.75M,8,14,15,14,5,9,17,16,13,12,13,15,14,13,13,14,13,13,13,13,14,13,14,11,15,12,6,13,8,13,14,14,12,18,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Pedro Geromel,Brazil,BRA,9,337,2,0,�7.25M,14,14,14,11,15,8,14,15,8,16,15,10,16,6,13,15,15,14,12,15,13,4,8,7,13,4,15,5,4,15,16,11,5,5,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Cassio,Brazil,BRA,0,205,1,0,�8.75M,16,12,10,15,19,15,12,14,10,12,14,1,14,2,18,13,13,7,12,12,10,2,2,1,10,1,11,3,2,2,2,11,4,12,10
